SL,School Name,District,Board,Sector,Project,Link
603,Debipur Col. High School,Dhalai,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1ksFP0c9tdHTCOHb95CW8TygN5yZv3NCZFzD7tcv8uEs/edit?usp=drivesdk
604,8-No Dyke High School,Dhalai,TBSE,Organised Retail,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1cKUKzGpd-2tmv1Hc7Ks-AmN9sOdiQob9d7DGa-nHI28/edit?usp=drivesdk
605,Purnima High School,Khowai,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1dSkgrPqOTVOPI8Fwhm3hsr_grf6ZLD_IVJ_65-iZsCI/edit?usp=drivesdk
606,Gopalnagar High School,Khowai,TBSE,Agriculture,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1pwRUB-cE1UXtwyDuYDkqm9hooejXrxt7VnpFQiCJzog/edit?usp=drivesdk
607,Dhalabil High School,Khowai,TBSE,Agriculture,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1wnJ8RNPYVpZv92gJl2L5MuDiOQB8vIr8iD0XjQ1iPo8/edit?usp=drivesdk
608,West Noabadi (S) High School,West,TBSE,Electronics,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1g87DU9EyLa101Wej5BBMFGtN_lRyiI5Oke_ttXLgF-M/edit?usp=drivesdk
609,Indranagar High School,West,TBSE,Electronics,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1pEbB83hzexiCI-ZXrhuE39q3G2YXAxO9M6DTlpSxKNY/edit?usp=drivesdk
610,Taranagar High School,West,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1rBpLB8BTdOX6xnxsJLau8dqVk5iL568EWsZ9_jRZGVA/edit?usp=drivesdk
611,Bamutia Binodini Girl'S. High School,West,TBSE,Electronics,VE 22 Spoke,https://docs.google.com/spreadsheets/d/15rONC2OuSMq_gUBrjpX8eMq_xN-r0WA0Js8FOHeyanY/edit?usp=drivesdk
612,Boxanagar Madhya Para Girls High School,Sepahijala,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1VItzIIvyPxJO69CoyQ00jJgr42GW2DAbKvdOrCRGU5Y/edit?usp=drivesdk
613,Mohanbhog High School,Sepahijala,TBSE,Electronics,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1ZmhcixGgVVuEPQPEc6sI55-3j_ItY5HFFR9HVzkdDf0/edit?usp=drivesdk
614,Bejimara High School,Sepahijala,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1NTn17Ib5f6VclGyByccfJ7mC5lhqom5jJ0FmCO42Hcg/edit?usp=drivesdk
615,Lewa Twisa Tarun V. High School,Gomati,TBSE,Electronics,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1aa_h91DJaDaLzvyorw4MrJBwOhxnFQXTTNH4-I-_AjU/edit?usp=drivesdk
616,Sataria High School,Gomati,TBSE,IT-ITeS,VE 22 Spoke,https://docs.google.com/spreadsheets/d/13GwvIhrXhikoTetKAiSI-hJoyZx78K4gPumR2vuivfg/edit?usp=drivesdk
617,North Belonia High school,South,TBSE,Power,VE 22 Spoke,https://docs.google.com/spreadsheets/d/1954QgEFPZkYzUdINChRllsDETZAyfa8Ao6uP1mkqgU8/edit?usp=drivesdk
