SL,School Name,District,Board,Sector,Project,Link
317,Umakanta Academy,West,CBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1B3V1RiP_la8mJuIJMVOCI3ePZc197AHbE0IiJefMogA/edit?usp=drivesdk
318,Bodhjung Girls' H.S School,West,TBSE,Beauty & Wellness,VE 90 Schools,https://docs.google.com/spreadsheets/d/1FuMnDGT2Bb_HRjXOAWH87Wyi_TaB6v6Qal7biGU6BJc/edit?usp=drivesdk
319,Charipara Class XII School,West,TBSE,Organised Retail,VE 90 Schools,https://docs.google.com/spreadsheets/d/1W_u3w5IX2wXda1g0dhm0RUpEmpoh9Yo9O-CwyXFd3Tc/edit?usp=drivesdk
320,Umakanta Academy Eng. Medium,West,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1aO7ZTueOV2jazYIWkUM74i9vwM85bUXlMvfR9zsF2lo/edit?usp=drivesdk
321,Henry Derozio Academy,West,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1l6YYxCbMcgNTbzMveBpswuUM5ySLYEL-eTAvXV3Ni18/edit?usp=drivesdk
322,Subhashnagar H.S School,West,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/18HLjdbBNWDXFJqXD5difVa11OAFohM0h-ejnct8ymK8/edit?usp=drivesdk
323,Dr. B.R. Ambedkar English Model School,West,CBSE,Electronics & Hardware,VE 90 Schools,https://docs.google.com/spreadsheets/d/18gHa1h6lzJ3mjPZIEIQOzXutSo5ZV-MAV6ezyYQh1XY/edit?usp=drivesdk
324,Barkathalia H.S School,West,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/19Qo1c9AnSWlV0p7Clamjr72bWaJNwx7WbGNJNso2hiQ/edit?usp=drivesdk
325,PMSHRI Old Agaratala Eng. Med. H.S School,West,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1EIYFjdPAL68kOC9cF1Vz3qm407DZa7Ffc9shmT5ag54/edit?usp=drivesdk
326,Khumpui Academy,West,CBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1bq4k6uH6earqmuldn4zFJl4uyKmPovL57STSUjNYsyQ/edit?usp=drivesdk
327,Sukanta Academy English Medium H.S School,West,CBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/167kAO8inq_2OP-qzQuqgikM5k6GqPsKEsG6YPNvswbM/edit?usp=drivesdk
328,Rabikumar Eng. Med. H.S School,West,TBSE,Tourism & Hospitality,VE 90 Schools,https://docs.google.com/spreadsheets/d/1H-elZ0g1JTLnyDOUZl2noCpu7TGqjiZn9Pa-BvtzZTY/edit?usp=drivesdk
329,Gandhigram H.S School,West,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1OWGZDXvQbrxtGcZMIIjSWPJB7cDJ2rKX6sW0FBLogY0/edit?usp=drivesdk
330,Mohanpur Girls' H.S School,West,CBSE,Beauty & Wellness,VE 90 Schools,https://docs.google.com/spreadsheets/d/1Tu4cRtKHqXVKLjimmLJgCKXfQFY2r1u4sQqWtiOX0uw/edit?usp=drivesdk
331,Sahid Kshudiram Vidyabhaban H.S School,West,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1rOGpYt35YzJKSQ9Nt-iHPaKInxLPee40zxA1zbhTG6A/edit?usp=drivesdk
332,Katlamara High School,West,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/12MtpdfheCA1VRnGXEqg9mNOaBlhjrJ5CpNSrolApjyA/edit?usp=drivesdk
333,Tebaria High School,West,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/17meWTjrJ3qeAcd22IjjiVveTvwd1aliYhDWMtIi76dw/edit?usp=drivesdk
334,Kalamchowra H.S School,Sepahijala,TBSE,Electronics,VE 90 Schools,https://docs.google.com/spreadsheets/d/190Wc5EhVEJ4WDyWKIjEUSvVBdSq94IrCA6fYAEAPXPA/edit?usp=drivesdk
335,Kalikrishnanagar H.S School,Sepahijala,TBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1RMl6cF6vUkFVDJ3VDTZJEODnNX0i4UcqYvTVNbfqG1M/edit?usp=drivesdk
336,Pramode Nagar H.S School,Sepahijala,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1TaLeFR3zb2KajAzPx8YaGx5_j0lujUAW8R-0cqsHW20/edit?usp=drivesdk
337,Lalsingmura H.S School,Sepahijala,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/1Ae-a7GjL1KTfExWVH4p4CHwGFk4Xbe0fgndNyoBRzH8/edit?usp=drivesdk
338,Melaghar English Medium H.S School,Sepahijala,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1FjEM14IhWqzcGYnCS3vU5vAxm572lB0CB9aQA7rjQ5c/edit?usp=drivesdk
339,Purba Gakulnagar H.S School,Sepahijala,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1UtIHReaRN78_YiMCVmRuMEF7xHIm722OOwkY_tN8l2w/edit?usp=drivesdk
340,Sonamura Eng. Med. H.S School,Sepahijala,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1iDzr08Jj38WuDI5MT4hfrorieNK6iJVpd4QWMcTLQGs/edit?usp=drivesdk
341,Matinagar H.S School,Sepahijala,TBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1z1grJqRuGtNnC9hX6cQL6uI1safnoV687NytMKxdstE/edit?usp=drivesdk
342,Barnarayan Class-XII School,Sepahijala,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/12gMst3jJxWcwJ8UaW0rlaew0tfy4wkfDAlMsxKZdJlY/edit?usp=drivesdk
343,Kathalia Girls' H.S School,Sepahijala,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/13gVbJes154H7Ioc6p3z2MeEwCh6VbeUVWGirJx6hp_U/edit?usp=drivesdk
344,Ghaniamara Eng. Med. H.S School,Sepahijala,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1GAH1N78_xvPFraXzLjnbJktHV55gyLnZGY5RSE7XP-w/edit?usp=drivesdk
345,P.K.C Para H.S School,Gomati,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1_YyYED_uMd1znuZZosUxUE8PWhzWC47Dt3DyVckpW-0/edit?usp=drivesdk
346,Holakhet High School,Gomati,TBSE,Electronics,VE 90 Schools,https://docs.google.com/spreadsheets/d/1jzOyRPbo_xtW_RN7rSebUCXp16hGOn8oQLQKwvNHV5I/edit?usp=drivesdk
347,Noabari H.S School,Gomati,CBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/16_5gLRoV9tJkwnSIokp4GQ-pdkpCvo2PS_hFj7fgwUk/edit?usp=drivesdk
348,Silaichari H.S School,Gomati,CBSE,Information Technology,VE 90 Schools,https://docs.google.com/spreadsheets/d/1OfG9SUOgL7vdiviXu0MxrwXRU1pAp31phhBU4Ifcfcc/edit?usp=drivesdk
349,Palatana H.S School,Gomati,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1P2Yfb-PfC5B2QgPlL8HkVdKkITWJi99VrWMq_q7Dy-k/edit?usp=drivesdk
350,Dr. Shymaprasad Mukharjee H.S School,Gomati,TBSE,Organised Retail,VE 90 Schools,https://docs.google.com/spreadsheets/d/1_V5ZvIbMysByR0QvB2JBqFQ86UT4f09m2AUXvZFIrxY/edit?usp=drivesdk
351,PMSHRI Bampur High School,Gomati,TBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1xCLgfGo799d64MpHQ9-hNmVSXdp5w1TKbD0Jv4z72zc/edit?usp=drivesdk
352,Patichari High School,Gomati,TBSE,Organised Retail,VE 90 Schools,https://docs.google.com/spreadsheets/d/1_JD_0ppoYW8i_Zps5d14RiAcfbPHAJvlY67HV25DUAI/edit?usp=drivesdk
353,PMSHRI Prahallad Sardar Para H.S School,Gomati,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/19OJef_DMDkQbX3gF_kqKOXbX_JqrKCSkoKJz7OI7fz8/edit?usp=drivesdk
354,Gokulpur High School,Gomati,TBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/1M_NwpdLoNuKZHvwDBK80IYOPIi-99Q_AC32oGZtFR60/edit?usp=drivesdk
355,Elmaira High School,Gomati,TBSE,Tourism & Hospitality,VE 90 Schools,https://docs.google.com/spreadsheets/d/1Nrma0_wBS5rOaMjp1AB32nUatPXpumiFKUUtBIo1mM0/edit?usp=drivesdk
356,Bagabasa High School,Gomati,TBSE,Tourism & Hospitality,VE 90 Schools,https://docs.google.com/spreadsheets/d/1T6-i4kXflWlc5K50Bz_fShk6WZsn-_MbbDTbwKPC0B0/edit?usp=drivesdk
357,PMSHRI Sabroom Girls' H.S School,South,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1cjyhK3Dr2C_qOWaJtEcAToDgK5-Ox2mp2pc2xm3B3UY/edit?usp=drivesdk
358,Ludhua High School,South,TBSE,Electronics,VE 90 Schools,https://docs.google.com/spreadsheets/d/1ePZYMVrtAvYhgL503Ob2FcINzY4ZnEhY-899jQIK28g/edit?usp=drivesdk
359,Madhabnagar H.S. School,South,TBSE,Automotive,VE 90 Schools,https://docs.google.com/spreadsheets/d/17liYhNXAZPW-IEsykzb8_1Eiwu3wYibTIPDo4NSTWiI/edit?usp=drivesdk
360,Ishan Chandra Nagar H.S. School,South,TBSE,Tourism & Hospitality,VE 90 Schools,https://docs.google.com/spreadsheets/d/1AgF8xoGauQ_PFCwyMJKDVX7A61tKvYMNCG4gaJexEs0/edit?usp=drivesdk
361,Hrishyamukh H.S School (Bengali Medium),South,TBSE,Beauty & Wellness,VE 90 Schools,https://docs.google.com/spreadsheets/d/1OQLQrAuPKsBtuXU6Cde2_M8jgmb_JLRjobxoLCiI0P4/edit?usp=drivesdk
362,East Manughat Eng. Med. High School,South,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1Qb79YpLrEf2asfaNFyRGlCj-pVUZD_uSY5pIb5qSZNY/edit?usp=drivesdk
363,South Bharat Chandra Nagar H.S School,South,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/1kUqNaLZicGD5PkgHSqquuyzG5Fl3Fme2aQ9gV8pAXJ4/edit?usp=drivesdk
364,Harina Girl's High School,South,TBSE,IT-ITeS,VE 90 Schools,https://docs.google.com/spreadsheets/d/1clzU0mL2NfCimsoXThkWohGDHHfkElcaHVIZIejNqvg/edit?usp=drivesdk
365,PMSHRI Sachindra Garo Para High School,South,TBSE,Agriculture,VE 90 Schools,https://docs.google.com/spreadsheets/d/18NLmTNScEb8nSZ40haD-3PZ35AYHZSFWPrVhGCIqQ5o/edit?usp=drivesdk
366,Jalefa H.S School,South,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/1Rx1KacrworR0YCEt1VJ7_M32OJn6I_IowgsJrGoJuto/edit?usp=drivesdk
367,Puran Rajbari H.S School,South,TBSE,Tourism & Hospitality,VE 90 Schools,https://docs.google.com/spreadsheets/d/1c_L0_X1Jr4CCM87YmRDe_pSLQSTA6QzKmU1Dk2HeiK8/edit?usp=drivesdk
368,Avangchara H.S School,South,TBSE,Organised Retail,VE 90 Schools,https://docs.google.com/spreadsheets/d/1jd8iEEqNtVljb1qamLZdCVR028NcvgmoTKuz8IUPLAk/edit?usp=drivesdk
369,Kukichara H.S. School,South,TBSE,Power,VE 90 Schools,https://docs.google.com/spreadsheets/d/1pZmhOa40o8eb2iEiE2tEFTt2X7KyF9NN3e-pFqGevuI/edit?usp=drivesdk
370,Srikanta Bari H.S School,South,TBSE,Beauty & Wellness,VE 90 Schools,https://docs.google.com/spreadsheets/d/1usZEWpcTfc0BiiPDjywQnKyHiqrGT3W0oE7HfGNdVx8/edit?usp=drivesdk
371,Bakbaki High School,North,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/12NeeuzS2-7POwR2Q2JUnbDtO-n9jAZoXwbqKE7e9YFk/edit?usp=drivesdk
372,Fatikroy Girls' High School,Unakoti,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/1XFCW91Qz9Ow_V8WwH_rP_sB_xbK8JG7osQ5cLaPahVo/edit?usp=drivesdk
373,Akshoymani Dhanicherra High school,Unakoti,TBSE,Electronics,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/1iGtOsDLTmAy9toO8uf_b7vAh6bv-kYodNVy5MaTmupc/edit?usp=drivesdk
374,Kshetrichhara High School,Dhalai,TBSE,Organised Retail,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/12hxbC_X7DhE0zKvoztDWrQQnWIrNWAYVkl1_F2GTKDo/edit?usp=drivesdk
375,Lambabil High School,Dhalai,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/1CmDXKpmVbRX3qQuZQh7eFiZuXW8MuDC2KdQHrr1o4bw/edit?usp=drivesdk
376,Ashokebon Col. High School,Khowai,TBSE,Agriculture,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/1vFj-36PdeR5ZudKkE9PKk0W80mA3HZlyfx8pUyiqHEM/edit?usp=drivesdk
377,Chalitabari High School,Khowai,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/1ziF7vGOQYTJerThPwXjTkXecAipJvrXoRKNqmxXJlWQ/edit?usp=drivesdk
378,Subalsing High School,West,TBSE,Agriculture,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/1d8LL_54LsNJOwxCx4bmqGSRZFMdJER5Fr_C2DPJlM6Y/edit?usp=drivesdk
379,Aralia High School,Sepahijala,TBSE,Agriculture,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/1nmrhWulTbrIaNPzWzwnO8jn7a-KkELpFGZwDvrsMVhk/edit?usp=drivesdk
380,East Krisnanagar Girls High School,South,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/1msmpqGm7b1hH67EaF0mEyGAWPDJVgY8i85Wkwr7DKpA/edit?usp=drivesdk
381,Joykatpur High School,South,TBSE,IT-ITeS,VE 16 Hub & Spoke Schools (P-II),https://docs.google.com/spreadsheets/d/19vkVkzz_wscX-0XhwV3siFNd26dhYeej7HGGEz8zbLA/edit?usp=drivesdk
382,Tilabazar H.S. School,Unakoti,CBSE,Information Technology,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/10kf4HZk3MQAc_MVimwPXfMN-nsc-xRTJ0JBmZJpVh7w/edit?usp=drivesdk
383,Dhanasingh Chou. Mem.Eng. Med.H.S. School,Unakoti,CBSE,Electronics & Hardware,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1CRWNIZxvwL_CfJWyuER56HlIyKbdw7u7htbqp8_8-RU/edit?usp=drivesdk
384,Baidhyanath Majumdar Smriti H.S. School,Unakoti,CBSE,Electronics & Hardware,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1SrkajKTTaVZZ2zKcw5hpnNPpll7ho7cOQqKgvWGxPUU/edit?usp=drivesdk
385,Ledrai Dewan Class XII School,Unakoti,CBSE,Information Technology,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1mqDUNR2KR5-_y48ic3QBBnqOSQqyGR5jJGJ2t4qxjbw/edit?usp=drivesdk
386,Bhadrapalli H.S. School,Unakoti,TBSE,Electronics,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1nK4-h1MTVG5LnGgihkJUCEZppOvADMgIGf7XypIlf9A/edit?usp=drivesdk
387,Kathalchara TMC H.S. School,Dhalai,TBSE,Agriculture,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1MiqNZ4XhH0yLMXs1LIS5RlBBkKVYJL2ElH8d_ju8DiQ/edit?usp=drivesdk
388,Hoku Twisa Eng. Med. H.S. School,Dhalai,CBSE,Electronics & Hardware,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1oAc6IaEz8t7SXQH8WTvmvFasQVhDDYQPrPU3g3fC2Jk/edit?usp=drivesdk
389,Khowai Govt. H.S. School,Khowai,CBSE,Information Technology,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1CY5qHfNHkOfHyVFagJSULYej9i-5VwUtQDyTfM8NuvY/edit?usp=drivesdk
390,Khowai Govt.Eng. Med Class XII School,Khowai,CBSE,Electronics & Hardware,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1C__sjfo7ETW5JXmCM7ZE1H39qRy_yaDb8Pa2KCMbrsQ/edit?usp=drivesdk
391,Tulashikhar Rajnagar H/S School,Khowai,CBSE,Information Technology,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1Y4pw5DU5JN2eFymfXuiNpwcsRYTV9pWTcZNk7iGZC5U/edit?usp=drivesdk
392,Bodhjung H.S School,West,CBSE,Information Technology,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1BMb1Jhd8PbY4yn6C27MBKJCHoYqt8dsW_GY1zRkuseg/edit?usp=drivesdk
393,PMSHRI Kamalghat H.S. School,West,TBSE,IT-ITeS,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1M9mLi1BD_Bx4QTHTUgC6565kSk1Iw-GAXa1WiOo97V4/edit?usp=drivesdk
394,Pallimangal H.S. School,West,CBSE,Electronics & Hardware,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1Zrz-3yZANuFPP5b5EcbW4actePFDcX1MyPKY0JqzlvY/edit?usp=drivesdk
395,Tulamura H.S School,Gomati,TBSE,Agriculture,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1sIvdcwZXAlm4qBakXL6zDB8AvdgkJan2dF5QvDVhd_w/edit?usp=drivesdk
396,Kirit Bikram Institution,Gomati,CBSE,Information Technology,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1z_VfOOAsCJa7jrtYNxirBdp1lmf71P_loJi7-e9ujcc/edit?usp=drivesdk
397,Ampinagar H.S School,Gomati,TBSE,Organised Retail,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/19EkAH7ruFuEO5OOlTs0sR6GgGKhEOduHdNbDD98Oavw/edit?usp=drivesdk
398,Taidubari H.S School,Gomati,CBSE,Retail,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1Hq5fWzpkKSlqZxNMBVNtBNRdYf0qsg7T9gHTZcpJsXU/edit?usp=drivesdk
399,Shalgara English Medium H/S School,Gomati,TBSE,Agriculture,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1Rty5qm09RUgSvWcQaOjKGEW__HZT5lYIVBTOrXTgjds/edit?usp=drivesdk
400,Rajnagar Col. H.S School,South,CBSE,Information Technology,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1VMsbOoS8KK9-EMHgHMIzW15TH9W1K4gaV5ov5OkO7Ts/edit?usp=drivesdk
401,Baikhora Eng. Med. H.S. School,South,CBSE,Electronics & Hardware,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1VShFw_qnVBwjKNeSC7SxdWA7z3zQrGMH053YpAwlid4/edit?usp=drivesdk
402,Chalita Bankul Col. H.S. School,South,TBSE,Agriculture,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1Ow_hQ8fSxvZt5KRxsXzxGFUche-H1cKvW9W-JuXOjKU/edit?usp=drivesdk
403,Debdaru H.S School,South,TBSE,Agriculture,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1wRuyjaXktWaxJc4PVmkp7IazOFBTYNT6vx6R9DQQrOI/edit?usp=drivesdk
404,South Bharat Chandra Nagar H.S School,South,TBSE,Agriculture,55 VE Addl.(2nd Sector),https://docs.google.com/spreadsheets/d/1qQB41D4na-C1VEftc8hO-2EnyNzKc_ulZQyArFP8Q5o/edit?usp=drivesdk
405,Golden Valley H.S.School,North,CBSE,Information Technology,72 VE Schools,https://docs.google.com/spreadsheets/d/1mn28-D2OCO25_4R3pI8g82jRRNkzdKSVIL89Y34ClPM/edit?usp=drivesdk
406,Satnala H.S. School,North,CBSE,Information Technology,72 VE Schools,https://docs.google.com/spreadsheets/d/1E0XBfGMBlO0dRFQziKQV7Ldh9ugqxaiyMspJn6b5PV0/edit?usp=drivesdk
407,Uttar Laljuri Joysree H.S. School,North,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1JKQOQQ1UhlZ_l-q9kMIN6Ipib1sVyn7zgKX-Egmhkv0/edit?usp=drivesdk
408,Kanchanpur Govt. English Medium H.S. School,North,CBSE,Information Technology,72 VE Schools,https://docs.google.com/spreadsheets/d/1NcIiFWx0r2fDJcXhlPkjVgvcpDKti8tb5xiY8GrYWfQ/edit?usp=drivesdk
409,Baruakandi Col. H.S. School,North,TBSE,Electronics,72 VE Schools,https://docs.google.com/spreadsheets/d/1TdI94Ped1_IpfMPw1GqqbxGninIWZcJDGW1Y4Rynoig/edit?usp=drivesdk
410,Netaji Vidyapith Eng. Med. H.S. School,Unakoti,CBSE,Information Technology,72 VE Schools,https://docs.google.com/spreadsheets/d/1Ybq0JR19VRYE0gnbxAHFz7RFlDWT17jEbH5LblB7yjc/edit?usp=drivesdk
411,Dalugaon H.S. School,Unakoti,CBSE,Information Technology,72 VE Schools,https://docs.google.com/spreadsheets/d/1_5fK4XQ-QFUmty5YRSIMUEwDLkXABY-jA9cPR4M9hso/edit?usp=drivesdk
412,PMSHRI Hazibari Class XII School,Unakoti,TBSE,Electronics,72 VE Schools,https://docs.google.com/spreadsheets/d/105fyVg7r3vPezozja28zUYlL5Hd4LjAx-L5HnbtlP0Q/edit?usp=drivesdk
413,Vidyanagar H.S.School,Unakoti,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/186lrE7hXfWK1bSB-U9toO5yOWQUFFcjMx6VArlFnFzI/edit?usp=drivesdk
414,Jarailtali H.S. School,Unakoti,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1DasjcuqjZz_GQVfY6lWQj9b9KGBK69XBKMyeTjuvg90/edit?usp=drivesdk
415,Kailashahar Girls H.S. School,Unakoti,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1IqVdww9m3Sqv5XSG8vTRLwQHXTTwy7rRR_yrNN0mTO8/edit?usp=drivesdk
416,Goldharpur R/S. H.S School,Unakoti,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1Neb_mV0OymNbHyLGearXmhmAchjILfq2JFWGvYHooN0/edit?usp=drivesdk
417,PMSHRI Chandraipara Class XII School,Dhalai,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1WpgevCnneKztsK2IExSG1krH145mgR_-94PugARmqOQ/edit?usp=drivesdk
418,Durbajoy Chow. Para High School,Dhalai,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1eAYMdj82jVKYrW80x4jYyqVo4BJQTYmIrX8tvn3Uw9Y/edit?usp=drivesdk
419,Ambassa English Medium Model School,Dhalai,CBSE,Electronics & Hardware,72 VE Schools,https://docs.google.com/spreadsheets/d/1f_RYAU3FXc2GjwP8Es1_rD77d1fvDDBP9LHMwrLmnJs/edit?usp=drivesdk
420,Kamalpur Madrasa Class XII School,Dhalai,TBSE,Power,72 VE Schools,https://docs.google.com/spreadsheets/d/1obroxwqF-tya-GQf_0RyNivHNKvSHr1nOWFRO3q64TA/edit?usp=drivesdk
421,Kamalpur Class XII School,Dhalai,TBSE,Automotive,72 VE Schools,https://docs.google.com/spreadsheets/d/1pSTZOdnYcjU5izCEFQY_WBfOvZpgQ472BEXJS4s7mAQ/edit?usp=drivesdk
422,Bijoygiri Dewan Para High School,Dhalai,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1tZ1KhSUyQnfyd3ebdu90uUVvFJlHD_gn60lFtHh-RC8/edit?usp=drivesdk
423,Purba Bullong Basa High School,Dhalai,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1ujCU9GRPReeOzvB4uvNSPpnTxxENjQTvgdfuK936io4/edit?usp=drivesdk
424,Karamcherra High School,Dhalai,TBSE,Electronics,72 VE Schools,https://docs.google.com/spreadsheets/d/1-4HRpQqTVYkRXV8iLgCLxWFo99vXzIJRucQGTozXmCQ/edit?usp=drivesdk
425,West Daluchara High School,Dhalai,TBSE,Organised Retail,72 VE Schools,https://docs.google.com/spreadsheets/d/118fI3xHlG9ixhqiOouBCHhDx4ySZPOCWTRC_hkOvgoQ/edit?usp=drivesdk
426,Noagaon High School,Dhalai,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/13PrLRW8kU0syfo2mCj3xJkmWBR1W1XvUhTcZJbSekFU/edit?usp=drivesdk
427,Chebri High School,Khowai,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/14PBjy8IwenvjOIc-TDpAtCW5ZaCvlp13lrBdBsAO-08/edit?usp=drivesdk
428,Ratanpur H.S. School,Khowai,TBSE,Electronics,72 VE Schools,https://docs.google.com/spreadsheets/d/15SxpghF6zrncY_i2ulOgJsdWyo3gmg6NXS54L09jEVI/edit?usp=drivesdk
429,Metharai Reangbari High School,Khowai,TBSE,IT-ITeS,72 VE Schools,https://docs.google.com/spreadsheets/d/1B4QdTa3ooVr6xKTBA-Szbdhos9bcT4nrixYzFUovOVk/edit?usp=drivesdk
430,PMSHRI Battali High School,Khowai,TBSE,Electronics,72 VE Schools,https://docs.google.com/spreadsheets/d/1EZFnjHTfglGH4AXwK_UC2zlPHNRnzyCWp4UDP2Byxj8/edit?usp=drivesdk
431,Binan Hazari Para High School,Khowai,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1FKCmJm2vapfCvIpii9LiW6YjHqkQBY3dCsPdS-kPiVw/edit?usp=drivesdk
432,Gouranga Tilla H.S. School,Khowai,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1MzhLFMnEIpGSzWz1IW1JCoslYw2SOS8tTbn6EpZK944/edit?usp=drivesdk
433,Rammanik S.P. High School,Khowai,TBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1PbFE7R3PBmthFVo8IfMLehEsZslr9JUzpEimXCyWQbI/edit?usp=drivesdk
434,Ganki H.S. School,Khowai,TBSE,Electronics,72 VE Schools,https://docs.google.com/spreadsheets/d/1R8Obr1bW7j9mDrQvEM-hBpXZoQKSkl7Q5XDC62OwVVg/edit?usp=drivesdk
435,Teliamura English Medium H.S. School,Khowai,CBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1RH84GXpHhcN6chGMcLf44bpWRQR75_5e7sxVxr9OxgM/edit?usp=drivesdk
436,Birchandrapur H.S. School,Khowai,CBSE,Agriculture,72 VE Schools,https://docs.google.com/spreadsheets/d/1XfWmoORKwEn88KVyXdq2Ao85rG-i6DXS36m-RUxRADI/edit?usp=drivesdk
